id,nome_evento,marca_A,marca_B,marca_C,tipo_evento,data
1,Daylight,283,214,111,Hip hop,06/24/2019
2,Cat Run,220,270,202,Rock,08/31/2019
3,Arsenic and Old Lace,318,295,114,Hip hop,05/24/2019
4,Akeelah and the Bee,308,320,126,Reggae,11/17/2019
5,"Low Life, The",166,235,190,Rock,02/25/2019
6,Doctor Dolittle,280,271,210,Hip hop,01/03/2019
7,Jane Eyre,139,292,232,Hip hop,10/04/2019
8,Man Facing Southeast (Hombre mirando al sudeste),259,322,53,Reggae,04/24/2019
9,I Melt with You,254,209,161,Hip hop,04/18/2019
10,"Woman Chaser, The",285,231,71,Rock,07/21/2019
11,"Order, The",244,221,73,Rock,11/03/2019
12,Border Radio,262,241,113,Hip hop,04/30/2019
13,New York,136,159,59,Rock,01/14/2019
14,Truth in 24,272,179,139,Rock,10/31/2019
15,"Ramen Girl, The",140,155,213,Reggae,10/18/2019
16,The Disappeared,134,295,87,Rock,02/25/2019
17,Allan Quatermain and the Temple of Skulls,280,292,100,Hip hop,06/17/2019
18,"Portrait of a Lady, The",151,176,75,Hip hop,12/05/2019
19,Gambit,326,268,165,Hip hop,07/16/2019
20,American Idiots,176,249,120,Hip hop,06/03/2019
21,"Man I Love, The",232,166,167,Reggae,02/24/2019
22,"Killers, The",334,251,93,Reggae,04/02/2019
23,Vengeance: The Story of Tony Cimo,231,283,165,Hip hop,07/09/2019
24,Me Myself I,139,234,235,Rock,06/20/2019
25,Blue Juice,219,243,51,Rock,01/22/2019
26,Man of the Century,178,224,231,Rock,03/05/2019
27,Frankenfish,161,186,150,Reggae,08/16/2019
28,Heidi,340,270,244,Reggae,05/23/2019
29,My New Gun,283,170,248,Rock,11/13/2019
30,SLC Punk!,312,302,153,Reggae,08/24/2019
31,"Matrix Revolutions, The",318,323,164,Hip hop,03/06/2019
32,"Great Magician, The (Daai mo seut si)",255,181,140,Hip hop,04/06/2019
33,Godzilla vs. Mothra (Mosura tai Gojira),138,205,229,Hip hop,05/07/2019
34,Vääpeli Körmy ja marsalkan sauva,179,254,140,Reggae,02/14/2019
35,Grill Point (Halbe Treppe),311,324,140,Rock,07/02/2019
36,Ted,261,244,141,Rock,05/01/2019
37,"Cave of the Yellow Dog, The",138,160,215,Hip hop,12/06/2019
38,Steppenwolf,204,289,108,Hip hop,04/02/2019
39,Thunder Bay,149,174,140,Hip hop,08/18/2019
40,Kukuli,107,288,103,Reggae,12/29/2019
41,"Bar at the Victoria Station, A (Bar na Victorii)",219,288,104,Reggae,01/30/2019
42,Cousin Bette,167,166,66,Rock,12/21/2019
43,My Girlfriend's Boyfriend,143,294,245,Rock,11/10/2019
44,"Swan Princess: Escape from Castle Mountain, The",220,238,230,Hip hop,03/04/2019
45,Blood Shot,237,305,75,Rock,09/09/2019
46,Closed Curtain,313,181,67,Reggae,10/28/2019
47,We Always Lie to Strangers,306,296,150,Reggae,03/20/2019
48,American Gun,246,318,118,Reggae,04/15/2019
49,In Bed (En la cama),284,268,133,Hip hop,01/13/2019
50,High Time (Big Daddy),207,157,207,Hip hop,03/15/2019
51,Dean Spanley,179,151,193,Reggae,04/30/2019
52,Jerusalem Countdown,293,166,193,Reggae,11/21/2019
53,Kevin Smith: Too Fat For 40,218,163,187,Rock,04/11/2019
54,"Time to Love and a Time to Die, A",184,288,200,Reggae,08/10/2019
55,Last Cowboy Standing (Skavabölen pojat),308,279,96,Reggae,12/14/2019
56,"Cider House Rules, The",224,325,224,Reggae,03/28/2019
57,Scandal Sheet,102,163,141,Rock,06/02/2019
58,Black Gold,225,254,181,Hip hop,09/29/2019
